ID_REGISTRO,ID_IOT,VL_COORDX,VL_COORDY,VL_COORDZ,DTH_REGISTRO,BSSID,RSSI
174,2,2.96,0.0,0.5,2025-07-31 00:56:06,24:FD:0D:D7:17:4A,-57
175,1,8.26,0.78,0.57,2025-07-31 00:56:07,24:FD:0D:D7:17:4A,-54
176,2,2.96,0.0,0.5,2025-07-31 00:56:14,24:FD:0D:D7:17:4A,-65
177,1,8.26,0.78,0.57,2025-07-31 00:56:15,24:FD:0D:D7:17:4A,-52
178,2,2.96,0.0,0.5,2025-07-31 00:56:23,24:FD:0D:D7:17:4A,-54
179,1,8.26,0.78,0.57,2025-07-31 00:56:25,24:FD:0D:D7:17:4A,-52
180,2,2.96,0.0,0.5,2025-07-31 00:56:31,24:FD:0D:D7:17:4A,-64
181,1,8.26,0.78,0.57,2025-07-31 00:56:33,24:FD:0D:D7:17:4A,-52
182,2,2.96,0.0,0.5,2025-07-31 00:56:40,24:FD:0D:D7:17:4A,-63
183,1,8.26,0.78,0.57,2025-07-31 00:56:42,24:FD:0D:D7:17:4A,-51
184,2,2.96,0.0,0.5,2025-07-31 00:56:48,24:FD:0D:D7:17:4A,-58
185,1,8.26,0.78,0.57,2025-07-31 00:56:51,24:FD:0D:D7:17:4A,-52
186,2,2.96,0.0,0.5,2025-07-31 00:56:57,24:FD:0D:D7:17:4A,-59
187,1,8.26,0.78,0.57,2025-07-31 00:57:00,24:FD:0D:D7:17:4A,-51
188,2,2.96,0.0,0.5,2025-07-31 00:57:06,24:FD:0D:D7:17:4A,-61
189,1,8.26,0.78,0.57,2025-07-31 00:57:09,24:FD:0D:D7:17:4A,-52
190,2,2.96,0.0,0.5,2025-07-31 00:57:15,24:FD:0D:D7:17:4A,-60
191,1,8.26,0.78,0.57,2025-07-31 00:57:18,24:FD:0D:D7:17:4A,-52
192,2,2.96,0.0,0.5,2025-07-31 00:57:23,24:FD:0D:D7:17:4A,-57
193,1,8.26,0.78,0.57,2025-07-31 00:57:27,24:FD:0D:D7:17:4A,-51
194,2,2.96,0.0,0.5,2025-07-31 00:57:32,24:FD:0D:D7:17:4A,-59
195,1,8.26,0.78,0.57,2025-07-31 00:57:36,24:FD:0D:D7:17:4A,-52
196,2,2.96,0.0,0.5,2025-07-31 00:57:40,24:FD:0D:D7:17:4A,-58
197,1,8.26,0.78,0.57,2025-07-31 00:57:45,24:FD:0D:D7:17:4A,-52
198,2,2.96,0.0,0.5,2025-07-31 00:57:49,24:FD:0D:D7:17:4A,-65
199,1,8.26,0.78,0.57,2025-07-31 00:57:54,24:FD:0D:D7:17:4A,-52
200,2,2.96,0.0,0.5,2025-07-31 00:57:58,24:FD:0D:D7:17:4A,-60
201,1,8.26,0.78,0.57,2025-07-31 00:58:03,24:FD:0D:D7:17:4A,-52
202,2,2.96,0.0,0.5,2025-07-31 00:58:07,24:FD:0D:D7:17:4A,-59
203,1,8.26,0.78,0.57,2025-07-31 00:58:12,24:FD:0D:D7:17:4A,-52
204,2,2.96,0.0,0.5,2025-07-31 00:58:15,24:FD:0D:D7:17:4A,-56
205,2,2.96,0.0,0.5,2025-07-31 00:58:24,24:FD:0D:D7:17:4A,-56
206,1,8.26,0.78,0.57,2025-07-31 00:58:30,24:FD:0D:D7:17:4A,-52
207,2,2.96,0.0,0.5,2025-07-31 00:58:32,24:FD:0D:D7:17:4A,-60
208,1,8.26,0.78,0.57,2025-07-31 00:58:38,24:FD:0D:D7:17:4A,-51
209,2,2.96,0.0,0.5,2025-07-31 00:58:41,24:FD:0D:D7:17:4A,-62
210,1,8.26,0.78,0.57,2025-07-31 00:58:47,24:FD:0D:D7:17:4A,-51
211,2,2.96,0.0,0.5,2025-07-31 00:58:49,24:FD:0D:D7:17:4A,-61
212,1,8.26,0.78,0.57,2025-07-31 00:58:56,24:FD:0D:D7:17:4A,-53
213,2,2.96,0.0,0.5,2025-07-31 00:58:58,24:FD:0D:D7:17:4A,-61
214,1,8.26,0.78,0.57,2025-07-31 00:59:05,24:FD:0D:D7:17:4A,-52
215,2,2.96,0.0,0.5,2025-07-31 00:59:07,24:FD:0D:D7:17:4A,-58
216,1,8.26,0.78,0.57,2025-07-31 00:59:14,24:FD:0D:D7:17:4A,-51
217,2,2.96,0.0,0.5,2025-07-31 00:59:16,24:FD:0D:D7:17:4A,-58
218,1,8.26,0.78,0.57,2025-07-31 00:59:23,24:FD:0D:D7:17:4A,-51
219,2,2.96,0.0,0.5,2025-07-31 00:59:24,24:FD:0D:D7:17:4A,-57
220,1,8.26,0.78,0.57,2025-07-31 00:59:32,24:FD:0D:D7:17:4A,-51
221,2,2.96,0.0,0.5,2025-07-31 00:59:33,24:FD:0D:D7:17:4A,-55
222,1,8.26,0.78,0.57,2025-07-31 00:59:41,24:FD:0D:D7:17:4A,-52
223,2,2.96,0.0,0.5,2025-07-31 00:59:42,24:FD:0D:D7:17:4A,-55
224,1,8.26,0.78,0.57,2025-07-31 00:59:50,24:FD:0D:D7:17:4A,-51
225,2,2.96,0.0,0.5,2025-07-31 00:59:50,24:FD:0D:D7:17:4A,-57
226,2,2.96,0.0,0.5,2025-07-31 00:59:59,24:FD:0D:D7:17:4A,-58
227,1,8.26,0.78,0.57,2025-07-31 00:59:59,24:FD:0D:D7:17:4A,-51
228,2,2.96,0.0,0.5,2025-07-31 01:00:08,24:FD:0D:D7:17:4A,-59
229,1,8.26,0.78,0.57,2025-07-31 01:00:08,24:FD:0D:D7:17:4A,-52
230,2,2.96,0.0,0.5,2025-07-31 01:00:16,24:FD:0D:D7:17:4A,-57
231,1,8.26,0.78,0.57,2025-07-31 01:00:17,24:FD:0D:D7:17:4A,-52
232,2,2.96,0.0,0.5,2025-07-31 01:00:25,24:FD:0D:D7:17:4A,-57
233,1,8.26,0.78,0.57,2025-07-31 01:00:26,24:FD:0D:D7:17:4A,-52
234,2,2.96,0.0,0.5,2025-07-31 01:00:33,24:FD:0D:D7:17:4A,-56
235,1,8.26,0.78,0.57,2025-07-31 01:00:35,24:FD:0D:D7:17:4A,-52
236,2,2.96,0.0,0.5,2025-07-31 01:00:42,24:FD:0D:D7:17:4A,-56
237,1,8.26,0.78,0.57,2025-07-31 01:00:44,24:FD:0D:D7:17:4A,-52
238,2,2.96,0.0,0.5,2025-07-31 01:00:51,24:FD:0D:D7:17:4A,-63
239,1,8.26,0.78,0.57,2025-07-31 01:00:53,24:FD:0D:D7:17:4A,-51
240,2,2.96,0.0,0.5,2025-07-31 01:00:59,24:FD:0D:D7:17:4A,-58
